Price,Close,High,Low,Open,Volume
Ticker,2317.TW,2317.TW,2317.TW,2317.TW,2317.TW
Date,,,,,
2025-01-02,182.5,186.0,181.5,184.0,38301022
2025-01-03,181.0,184.0,180.5,183.0,46698161
2025-01-06,184.5,187.5,183.5,185.0,66600965
2025-01-07,190.0,192.0,186.5,187.0,80605094
2025-01-08,188.0,190.0,187.0,190.0,40650155
2025-01-09,183.0,188.0,183.0,188.0,44873514
2025-01-10,181.5,184.0,181.0,182.5,39132489
2025-01-13,171.5,180.5,171.5,180.0,148207264
2025-01-14,174.5,174.5,171.0,171.5,62025042
2025-01-15,171.0,175.5,171.0,174.5,57853514
2025-01-16,173.5,176.0,173.0,175.0,41090927
2025-01-17,173.5,175.5,172.0,173.0,44467947
2025-01-20,178.0,178.0,174.5,174.5,33266229
2025-01-21,178.5,180.0,177.0,178.5,31745824
2025-01-22,180.0,181.0,178.5,180.5,43634401
2025-02-03,165.5,168.0,163.5,164.0,155112848
2025-02-04,165.0,169.0,165.0,167.0,62817481
2025-02-05,171.0,171.5,167.0,167.0,50787569
2025-02-06,173.0,174.0,171.0,172.5,40235011
2025-02-07,178.0,178.0,174.0,175.0,50334024
2025-02-10,174.0,176.5,174.0,176.0,35975740
2025-02-11,179.0,182.0,176.0,178.0,69282654
2025-02-12,177.0,181.5,177.0,181.5,41760435
2025-02-13,180.0,181.0,177.0,177.0,40054109
2025-02-14,178.0,180.5,177.5,180.0,26170902
2025-02-17,182.5,182.5,179.0,179.5,46052153
2025-02-18,183.5,184.0,181.0,183.0,26614265
2025-02-19,183.0,184.5,182.0,183.5,33998620
2025-02-20,182.0,183.5,181.5,183.0,23201907
2025-02-21,183.0,184.0,181.0,181.5,34837198
2025-02-24,184.0,184.0,180.5,181.0,26499357
2025-02-25,177.5,182.0,177.5,181.5,62236037
2025-02-26,180.5,181.0,174.5,175.0,44189198
2025-02-27,174.0,181.5,174.0,180.0,78529299
2025-03-03,170.0,175.0,170.0,172.0,67754390
2025-03-04,170.5,172.0,165.0,165.5,68513242
2025-03-05,173.5,175.0,171.5,171.5,44481318
2025-03-06,173.5,176.0,173.5,175.5,28371666
2025-03-07,172.0,174.5,171.0,171.0,31346422
2025-03-10,172.0,174.0,170.0,173.5,35538548
2025-03-11,168.5,169.5,165.0,166.0,65518436
2025-03-12,170.5,171.5,169.0,169.0,39457767
2025-03-13,168.0,174.0,168.0,172.5,33203563
2025-03-14,170.0,170.5,168.0,168.5,32460048
2025-03-17,168.0,172.5,168.0,172.0,49505421
2025-03-18,167.5,169.5,167.0,169.0,38491878
2025-03-19,164.0,167.5,163.5,167.0,76827146
2025-03-20,166.0,167.0,164.5,165.0,36080294
2025-03-21,165.0,167.0,165.0,167.0,44208163
2025-03-24,163.0,167.0,163.0,166.5,40731359
2025-03-25,165.0,166.5,164.0,165.5,32238564
2025-03-26,166.0,167.0,165.0,166.0,18157417
2025-03-27,160.5,164.0,160.0,163.5,64776987
2025-03-28,154.0,158.5,153.0,158.0,106024520
